timestamp,detection_time,server_timestamp,protocol,detection_method,ssid,device_name,mac_address,manufacturer,alias,rssi,last_rssi,signal_strength,channel,last_channel,detection_count,latitude,longitude,altitude,gps_timestamp,satellites,fix_quality,gps_time_diff,gps_match_quality,timestamp_source
2026-01-06T10:15:43.352906,2026-01-06 10:15:43,2026-01-06T10:15:43.352906,bluetooth_le,unknown,,,6e:41:d9:85:09:07,Unknown Manufacturer,,-92,-96,WEAK,,,4,,,,,,,,,system
2026-01-06T10:15:43.569614,2026-01-06 10:15:43,2026-01-06T10:15:43.569614,bluetooth_le,unknown,,,74:bd:5d:46:51:da,Unknown Manufacturer,,-91,-90,WEAK,,,6,,,,,,,,,system
2026-01-06T10:15:44.849281,2026-01-06 10:15:44,2026-01-06T10:15:44.849281,wifi,probe_request_unknown,,,fe:c7:62:a4:69:e2,Unknown Manufacturer,,-81,-81,WEAK,12,12,2,,,,,,,,,system
2026-01-06T10:15:47.395736,2026-01-06 10:15:47,2026-01-06T10:15:47.395736,wifi,probe_request_unknown,MA-WLAN,,42:1c:73:64:7d:07,Unknown Manufacturer,,-87,-83,WEAK,4,2,5,,,,,,,,,system
2026-01-06T10:15:48.473438,2026-01-06 10:15:48,2026-01-06T10:15:48.473438,wifi,probe_request_unknown,Mobile-WLAN,,90:65:84:f3:37:e3,Intel Corporate,,-89,-89,WEAK,6,8,3,,,,,,,,,system
2026-01-06T10:15:56.003765,2026-01-06 10:15:56,2026-01-06T10:15:56.003765,bluetooth_le,unknown,,Poly VSurround 80,4a:56:5e:79:df:fc,Unknown Manufacturer,,-71,-70,WEAK,,,46,,,,,,,,,system
2026-01-06T10:15:56.565228,2026-01-06 10:15:56,2026-01-06T10:15:56.565228,bluetooth_le,unknown,,,c4:4d:40:49:62:0b,Unknown Manufacturer,,-95,,WEAK,,,1,,,,,,,,,system
2026-01-06T10:16:02.651333,2026-01-06 10:16:02,2026-01-06T10:16:02.651333,bluetooth_le,unknown,,,f7:cc:c9:21:7a:ff,Unknown Manufacturer,,-93,-96,WEAK,,,3,,,,,,,,,system
2026-01-06T10:16:07.272173,2026-01-06 10:16:07,2026-01-06T10:16:07.272173,wifi,probe_request_unknown,MA-WLAN,,5e:89:22:2c:ee:e9,Unknown Manufacturer,,-86,-83,WEAK,10,1,3,,,,,,,,,system
2026-01-06T10:16:08.470362,2026-01-06 10:16:08,2026-01-06T10:16:08.470362,bluetooth_le,unknown,,,,Unknown,,-85,,WEAK,,,1,,,,,,,,,system
2026-01-06T10:16:08.577403,2026-01-06 10:16:08,2026-01-06T10:16:08.577403,bluetooth_le,unknown,,,fb:76:16:38:65:8e,Unknown Manufacturer,,-91,-90,WEAK,,,15,,,,,,,,,system
2026-01-06T10:16:08.808479,2026-01-06 10:16:08,2026-01-06T10:16:08.808479,bluetooth_le,unknown,,,d0:a5:4e:77:10:1f,Unknown Manufacturer,,-93,-89,WEAK,,,11,,,,,,,,,system
2026-01-06T10:16:13.546827,2026-01-06 10:16:13,2026-01-06T10:16:13.546827,bluetooth_le,unknown,,,07:f3:32:11:f0:ab,Unknown Manufacturer,,-92,-87,WEAK,,,2,,,,,,,,,system
